店铺id,店铺名称,风格标签,店铺评分,月销量,配送费用（元）,配置起步价（元）,配送时长（分钟）,店铺地址
156172410,雨田寿司(学府店),日韩料理,4.8,688,6.5,20,37,深圳市南山区南头街道学府路68-27号桃苑单身公寓A111-1旁边楼梯间
161104066,汉堡侠(南头店),炸鸡炸串,4.4,925,6,20,42,深圳市南山区南头街道大新社区大新新村96号104
2206981,邂逅椰子鸡,火锅烤鱼,3.8,69,7,20,41,深圳市南山区南头街道大新前海商业中心208-209A
1349693,佳泰砂锅粥(南山大道店),包子粥店,4.8,103,8.5,20,39,深圳市南山区南山大道1173号向南商业楼一楼3号
144704195,兰博烤蹄(桂庙路店),奶茶果汁,5,184,5.5,20,34,深圳市南山区南山街道桂庙路1-8旁边
130846,無名（深大店）,简餐,4.7,957,4,15,48,深圳市南山区粵海街道学府桂庙新村学府桂庙新村37栋A12
893087,MR.吾FIVE BITES热狗（欢乐颂店）,汉堡,4.4,160,8.5,20,32,深圳市南山区南山街道南新路3030号金福瑞购物中心“现称南山欢乐颂购物中心”一层G108号商铺
150874491,老上海馄饨铺(登良店),米粉面馆,4.6,11416,5.5,20,47,深圳市南山区南山街道登良路南园综合大楼首层西侧106号
20048,嘉味园,简餐,4.5,1889,2,20,36,深圳市南山区桂庙新村83号102
157993754,中逸鹅满堂(南头店),粤菜,4.7,850,8,20,34,深圳市南山区南头街道关口东街1号1楼2号商铺
2283928,众味客黄焖鸡米饭(科技园店),黄焖鸡米饭,4.4,395,5,20,37,深圳市南山区南头街道马家龙工业区玉泉路北南山汇金家园C栋商场01层C23
161449091,沙县小吃,米粉面馆,3.7,220,4,20,31,深圳市南山区粤海街道学府路桂庙宿舍楼4-18号之一
1845616,渔船长甲子餐厅(南山市场店),粤菜,3.8,135,12.98,20,38,深圳市南山区南山街道南新路富嘉名阁113号
161164649,鸡兄薯弟•炸鸡汉堡(南山店),炸鸡炸串,4.7,1695,5.5,20,43,深圳市南山区南头街道常兴新村64栋常兴一街5号
161360735,壹号煎饼侠(南油店),地方小吃,4.6,865,5.5,20,47,深圳市南山区粤海街道兴南路90号南油B区47栋一楼
161583970,百乐炸鸡汉堡,炸鸡炸串,4.6,2138,5,20,42,深圳市南山区南头街道大新新村14号
159258331,至味冒菜钵钵鸡,米粉面馆,4.7,420,5,20,43,深圳市南山区南山街道大板桥巷41号12铺
464493,必胜客（金鸡店）,炸鸡炸串,5,149,8.5,20,40,深圳市南山区南新路3022号金福瑞购物广场地下室-01层-B、商铺01层、商业02层复式1-3层、
161279517,小新台湾炸鸡(马家龙店),炸鸡炸串,5,218,5,20,37,深圳市南山区南头街道马家龙小区马家龙百货商场一号铺
1309857,烎烎小馆,小龙虾,4.3,53,7,20,39,深圳市南山区学府路华府花园1栋101
155791876,重庆麻辣烫（南山店）,米粉面馆,4.8,1874,6,20,32,深圳市南山区南头街道桃园西路常兴苑C2栋106
464493,必胜客（金鸡店）,炸鸡炸串,5,149,8.5,20,40,深圳市南山区南新路3022号金福瑞购物广场地下室-01层-B、商铺01层、商业02层复式1-3层、
1814990,凉皮先生(南山店),地方小吃,4.8,2020,6,20,40,深圳市南山区南山街道新南村14号106
1513943,小师妹港式烧腊,简餐,4.6,3026,4.5,20,45,深圳市南山区南头街道大新新村53号-103铺
154543402,烤谷 （南山店）,烧烤,4.8,45,7,20,37,深圳市南山区南山街道深圳市南山区南山街道南新路仓前锦福苑04-05栋1-13C
157083667,蒋阿姨砂锅凤爪（南新店）,炸鸡炸串,4.8,183,9,20,32,深圳市南山区南头街道深南大道12027-3
157207426,柠檬鱼专业酸菜鱼,火锅烤鱼,3.5,43,6.5,20,36,深圳市南山区南山街道南山大道新绿岛大厦1A-A4-1
1277356,千锤牛肉丸,盖浇饭,5,96,6.5,20,33,深圳市南山区海岸大厦西座119
161510565,三叔粥铺(南山店),地方小吃,4.8,3324,4.5,20,40,深圳市南山区南头街道仓前北村18-3
852567,香港银龙餐厅(前海店),粤菜,4.7,729,7.5,20,39,深圳市南山区南山街道学府路阳光棕榈园二期26栋一层108，109号铺
155899606,咸骨粥饺子王（南头店）,包子粥店,4.8,343,6,20,39,深圳市南山区南头街道中山西街26-1号
1364445,松哥油焖大虾（中山店）,小龙虾,4,56,15,168,40,深圳市南山区南头街道深南大道沃尔玛门口12027-3号
159264009,全民烤场（创业路店）,东北菜,5,52,9,20,42,深圳市南山区南山街道创业路3079号中兴工业城一栋一楼8号
155843533,李记砂锅粥大排档,粤菜,4.7,61,7,20,34,深圳市南山区南山街道南新路仓前锦福苑04-05栋1-252
1536872,杭州小笼包（南山店）,包子粥店,4.7,1755,5,20,31,深圳市南山区南山街道南光路西南海明珠103A
156055565,大掌柜凉皮肉夹馍(南山店),地方小吃,4.7,2794,6,20,40,深圳市南山区南山街道南新路丁头东村8栋101
1943545,咸骨粥饺子王（科技园店）,包子粥店,4.5,1840,6,20,37,深圳市南山区科技园科发路2号科技园30区10栋104
160280995,立谦花小甲(学府店),地方小吃,4.6,1421,6.5,20,32,深圳市南山区南山街道荔芳村A栋2-2号
153763057,柳州螺蛳粉,米粉面馆,4.8,914,4.5,20,32,深圳市南山区科发路3号长城电脑大厦3楼综合楼一楼东侧101
157427919,牛状元（深大店）,米粉面馆,4.4,223,4,10,28,深圳市南山区粤海街道桂庙新村西部校园美食街D5号
159264009,全民烤场（创业路店）,东北菜,5,52,9,20,42,深圳市南山区南山街道创业路3079号中兴工业城一栋一楼8号
155615078,台湾花甲王（南山店）,地方小吃,4.6,1527,6.5,20,46,深圳市南山区南山街道南山村正巷297栋101号
447126,老新疆,米粉面馆,5,163,0,16,38,深圳市南山区南山街道桂庙新村商业街35-1-25号
147205275,辣美汇风味虾滑（桂庙店）,麻辣烫,4.6,335,3,15,38,深圳市南山区粤海街道学府路桂庙新村西部创业园39#
155775852,平兴乳鸽王客家菜馆（大新店）,粤菜,4.9,75,7,20,38,深圳市南山区大新村87号一楼商铺
160240648,川妹子麻辣香锅（科技园店）,香锅砂锅,4.7,966,5,20,41,深圳市南山区南头街道明珠丽景1栋2号
143155647,沙县小吃,米粉面馆,4.9,92,6,20,26,深圳市南山区粤海街道科苑南路海阔天空雅居H栋12号商铺
1299194,崔福哥鸭血粉丝（学府店）,地方小吃,3.9,237,8,20,31,深圳市南山区南山街道学府花园哈佛园5栋501B-3、501B-4
157944067,哈哈镜（高新店）,鸭脖卤味,5,41,10,50,0,深圳市南山区粤海街道高新南环28号118A
152159545,小师妹便当（后海店）,盖浇饭,4.4,1711,5.5,20,42,深圳市南山区粤海街道登良路后海新村134号101铺
152328157,蟹匠1027,小龙虾,3.7,34,9,20,37,深圳市南山区南头街丽乐美居A栋108
152345566,辣些年·酸辣粉米线（南山店）,米粉面馆,4.9,1180,4.5,20,39,深圳市南山区南山街道光大村C栋116搞
155167486,汕尾风味,米粉面馆,3.9,262,6,20,35,深圳市南山区南山街道南海明珠住宅1栋105A
1946289,重庆万州卤菜,鸭脖卤味,5,67,7,20,32,深圳市南山区南山街道桂庙路84-3
2239180,张亮麻辣烫,麻辣烫,4.5,4474,5.5,20,37,深圳市南山区南头街道常兴田厦统建楼二栋1楼115-12号铺位
150164678,老上海馄饨铺（常兴天虹店）,米粉面馆,4.8,3997,5.5,20,32,深圳市南山区南头街道常兴路常兴广场首层20-1号铺
1427747,金庄园烧烤（学府店）,烧烤,4.7,301,9.5,20,40,深圳市南山区南山街道学府路阳光棕榈园199号
1519569,咸骨煲仔粥爽滑饺子王(学府店),包子粥店,4.6,1103,6.5,20,34,深圳市南山区南头街道学府路荔芳村荔芳二街8-11
